Name                                           Type               Forward_MACs    FPercent    Memory       MPercent    Params      PPercent    InShape       OutShape
/layer3/layer3.1/relu_1/Relu                   Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.1/conv3/Conv                    Conv               51,580,928      1.25%       1,855,488    0.89%       263,168     1.03%       1x256x14x14   1x1024x14x14
/layer3/layer3.1/Add                           Add                200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.1/relu_2/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.2/conv1/Conv                    Conv               51,430,400      1.25%       1,250,304    0.60%       262,400     1.03%       1x1024x14x14  1x256x14x14
/layer3/layer3.2/relu/Relu                     Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.2/conv2/Conv                    Conv               115,655,680     2.81%       2,561,024    1.23%       590,080     2.31%       1x256x14x14   1x256x14x14
/layer3/layer3.2/relu_1/Relu                   Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.2/conv3/Conv                    Conv               51,580,928      1.25%       1,855,488    0.89%       263,168     1.03%       1x256x14x14   1x1024x14x14
/layer3/layer3.2/Add                           Add                200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.2/relu_2/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.3/conv1/Conv                    Conv               51,430,400      1.25%       1,250,304    0.60%       262,400     1.03%       1x1024x14x14  1x256x14x14
/layer3/layer3.3/relu/Relu                     Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.3/conv2/Conv                    Conv               115,655,680     2.81%       2,561,024    1.23%       590,080     2.31%       1x256x14x14   1x256x14x14
/layer3/layer3.3/relu_1/Relu                   Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.3/conv3/Conv                    Conv               51,580,928      1.25%       1,855,488    0.89%       263,168     1.03%       1x256x14x14   1x1024x14x14
/layer3/layer3.3/Add                           Add                200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.3/relu_2/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.4/conv1/Conv                    Conv               51,430,400      1.25%       1,250,304    0.60%       262,400     1.03%       1x1024x14x14  1x256x14x14
